,Species,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
0,Iris-setosa,4.959947468902965,3.210709942431258,1.6735974407638357,0.24838861662353257
1,Iris-setosa,4.777594578539144,3.1318777936957636,1.4135924751669295,0.11321664565052486
2,Iris-setosa,4.807162796633734,3.475521198629421,1.3714945385921555,0.15991490226975508
3,Iris-setosa,4.7521040171054665,3.7381996071197987,1.4358812139368822,0.2342468299213154
4,Iris-setosa,5.021367651442745,2.3824764161544696,1.257389099080475,0.19818392565549786
5,Iris-setosa,4.942494591082225,3.3488526252157476,1.550904052979187,0.2735982102500038
6,Iris-setosa,5.000555936853234,3.1913688614082747,1.251019748216517,0.1713419545521459
7,Iris-setosa,4.92867252901567,3.1156291063548,1.4198294750731708,0.22039387884708417
8,Iris-setosa,4.517205828654475,3.324358530736938,1.4966271097680903,0.22943015118065455
9,Iris-setosa,4.881708167462857,3.4009042585378464,1.5410009597263001,0.16022709683974481
10,Iris-setosa,5.763114353653094,2.7936229418591694,1.5452819403980333,0.3226970091948499
11,Iris-setosa,6.023960601498207,4.153770228162525,1.094454866006247,0.30755336689712254
12,Iris-setosa,4.515113782232715,3.4934987487681135,1.1982236615740964,0.1544265069895443
13,Iris-setosa,4.46511647784676,3.5290600856057637,1.6827266319455898,0.2114813069115505
14,Iris-setosa,4.870770880724664,3.9113776790575896,1.3850510890677228,0.13736630129120794
15,Iris-setosa,5.42105627112538,3.3465548806209555,1.8640609726546669,0.18901564146193842
16,Iris-setosa,5.0045875419294035,3.1924003076239065,1.2272033764774783,0.3510143214890893
17,Iris-setosa,5.138055038449239,3.0626633917962,1.4637019283027,0.3306847094218374
18,Iris-setosa,5.453543395913098,3.458788822186761,1.389277901985175,0.25354581223019307
19,Iris-setosa,4.840789724306881,3.24718351020817,1.638134177057202,0.4322768565320736
20,Iris-setosa,4.910263364552047,3.541155081247728,1.2182648107584348,0.19445331985912165
21,Iris-setosa,4.764211040501597,3.741312636464912,1.5375063002673304,0.12412328224922028
22,Iris-setosa,4.584414774666552,3.180849271345073,1.1281601068740557,0.1002136910559813
23,Iris-setosa,4.741327111246397,3.802991577458724,1.7030631973297454,0.18507327470723559
24,Iris-setosa,4.997203278173935,3.125376329539489,1.5615191350035666,0.21656620469534746
25,Iris-setosa,4.964656033532204,3.2453689148056832,1.7958129469863726,0.3030177266246787
26,Iris-setosa,4.245640269396323,3.6777621553670183,1.5541527071218837,0.26671064752213736
